patient,lda_auc_full,lda_sign,lda_stability,lda_auc_min,lda_auc_median,lda_auc_max,md_auc_full,md_sign,md_stability,md_auc_min,md_auc_max
chb01,1.0000,1,1.0000,0.9981,1.0000,1.0000,1.0000,1,1.0000,1.0000,1.0000
chb02,0.9571,1,1.0000,0.8810,0.9619,1.0000,1.0000,1,1.0000,1.0000,1.0000
chb03,0.9809,1,1.0000,0.8532,0.9745,1.0000,1.0000,1,1.0000,1.0000,1.0000
chb04,0.9778,1,1.0000,0.8667,0.9678,0.9956,0.8689,1,1.0000,0.8556,0.8822
chb05,0.8632,1,1.0000,0.7353,0.8463,0.9574,1.0000,1,1.0000,1.0000,1.0000
chb06,0.4214,-1,0.8667,0.2571,0.4036,0.6214,0.4071,-1,1.0000,0.3643,0.4357
chb07,0.9385,1,1.0000,0.8462,0.9423,1.0000,0.9949,1,1.0000,0.9923,0.9949
chb08,0.6071,1,0.9333,0.3912,0.6540,0.8336,0.9841,1,1.0000,0.9699,0.9867
chb09,0.9906,1,1.0000,0.9469,0.9938,1.0000,1.0000,1,1.0000,1.0000,1.0000
chb10,0.9660,1,1.0000,0.7094,0.9708,1.0000,1.0000,1,1.0000,0.9925,1.0000
chb11,0.9950,1,1.0000,0.9810,0.9950,1.0000,0.9970,1,1.0000,0.9960,0.9990
chb13,0.5371,1,0.4000,0.2081,0.4573,0.8161,0.5823,1,1.0000,0.5581,0.6194
chb14,0.2118,-1,1.0000,0.0000,0.1500,0.4353,0.0235,-1,1.0000,0.0176,0.0353
chb15,0.7679,1,1.0000,0.6549,0.7479,0.8650,0.4527,-1,1.0000,0.4481,0.4586
chb16,0.8571,1,1.0000,0.6714,0.8714,0.9857,0.9571,1,1.0000,0.9429,0.9857
chb17,0.8444,1,1.0000,0.5389,0.8111,0.9694,0.9278,1,1.0000,0.9167,0.9389
chb18,0.9889,1,1.0000,0.8917,0.9917,1.0000,0.8889,1,1.0000,0.8750,0.9056
chb19,0.9929,1,1.0000,0.9679,0.9911,1.0000,0.9607,1,1.0000,0.9571,0.9714
chb20,0.9875,1,1.0000,0.8094,0.9406,1.0000,0.8406,1,1.0000,0.8219,0.8594
chb21,0.9833,1,0.8833,0.3958,0.9688,1.0000,0.3542,-1,1.0000,0.3208,0.3958
chb22,0.9840,1,1.0000,0.8480,0.9760,1.0000,0.9880,1,1.0000,0.9840,0.9960
chb23,0.9755,1,1.0000,0.8347,0.9816,1.0000,0.9980,1,1.0000,0.9939,0.9980
